student_id,age,gender,education_level,country,course_category,hours_per_week,videos_watched,quizzes_completed,forum_posts,assignment_score,final_exam_score,enrollment_date,subscription_type,course_completed
STU0001,24.0,Male,Some College,UK,Data Science,7.7,45,7,6.0,68.1,3.0,2024-06-26,Basic,True
STU0002,37.0,Male,Master,UK,Web Development,5.6,97,3,7.0,54.1,,2024-03-14,Basic,False
STU0003,,Male,Some College,Germany,Data Science,13.9,77,14,4.0,79.1,74.7,2024-04-07,Basic,True
STU0004,28.0,Male,Some College,India,Web Development,5.2,17,19,3.0,65.8,,2024-06-02,Basic,False
STU0005,25.0,Female,Some College,USA,Design,9.4,74,24,3.0,75.6,77.0,2024-06-06,Basic,True
STU0006,38.0,Male,Bachelor,USA,Design,11.1,10,16,6.0,90.7,71.1,2024-04-19,Free,True
STU0007,24.0,Female,Some College,India,Data Science,14.82,105,12,5.0,50.2,67.8,2024-04-24,Premium,False
STU0008,43.0,Male,Bachelor,Germany,Marketing,3.3,56,17,2.0,79.0,48.1,2024-06-07,Basic,False
STU0009,36.0,Male,Some College,UK,Business,12.2,7,1,3.0,86.4,40.3,2024-02-11,Free,True
STU0010,40.0,Male,Master,Canada,Data Science,5.33,102,12,6.0,87.1,48.5,2024-03-08,Premium,False
STU0011,28.0,Male,Bachelor,India,Data Science,14.559999999999999,80,12,1.0,54.5,55.1,2024-03-10,Premium,True
STU0012,28.0,Female,High School,UK,Data Science,13.13,63,21,2.0,81.3,85.8,2024-03-18,Premium,True
STU0013,41.0,Female,Bachelor,India,Data Science,11.3,80,14,1.0,93.1,85.6,2024-03-30,Free,False
STU0014,38.0,Female,Master,India,Marketing,3.2,51,19,,80.1,55.3,2024-04-20,Free,False
STU0015,21.0,Female,Master,Germany,Web Development,10.4,59,9,4.0,73.3,29.0,2024-04-21,Basic,True
STU0016,25.0,Male,Bachelor,Australia,Design,12.3,68,2,5.0,92.1,73.6,2024-04-12,Free,True
STU0017,41.0,Female,Bachelor,India,Web Development,11.440000000000001,82,18,3.0,64.6,65.2,2024-05-24,Premium,True
STU0018,20.0,Male,Master,USA,Data Science,4.7,85,2,2.0,52.1,64.4,2024-01-19,Free,True
STU0019,39.0,Female,Bachelor,USA,Web Development,11.7,71,21,5.0,72.0,90.2,2024-06-27,Free,True
STU0020,38.0,Male,High School,USA,Data Science,8.5,94,13,1.0,83.0,72.9,2024-03-10,Basic,False
STU0021,19.0,Male,Master,Canada,Web Development,1.3,19,7,3.0,90.6,52.0,2024-03-03,Free,True
STU0022,41.0,Male,Some College,India,Marketing,5.720000000000001,43,22,2.0,83.0,46.5,2024-03-15,Premium,False
STU0023,29.0,Male,Bachelor,UK,Web Development,5.9,72,3,2.0,87.5,63.6,2024-06-06,Basic,True
STU0024,23.0,Male,Some College,India,Business,14.0,22,19,1.0,90.7,58.5,2024-06-01,Free,True
STU0025,19.0,Male,High School,USA,Data Science,13.3,87,10,1.0,69.9,72.9,2024-04-13,Free,True
STU0026,38.0,Other,Some College,India,Data Science,13.3,47,10,6.0,72.8,92.7,2024-03-15,Basic,True
STU0027,18.0,Male,Master,USA,Data Science,8.9,39,10,3.0,94.3,50.9,2024-05-07,Free,True
STU0028,29.0,Male,Some College,India,Business,11.7,82,1,1.0,56.8,74.6,2024-06-02,Basic,False
STU0029,43.0,Female,Some College,USA,Data Science,3.4,62,16,6.0,81.4,82.8,2024-02-25,Basic,True
STU0030,39.0,Female,Some College,Australia,Web Development,8.0,37,8,3.0,64.2,68.4,2024-01-22,Basic,False
STU0031,29.0,Male,Bachelor,USA,Business,12.740000000000002,21,1,4.0,91.5,86.8,2024-03-29,Premium,True
STU0032,42.0,Male,PhD,Other,Web Development,4.8100000000000005,45,23,0.0,74.7,67.2,2024-01-19,Premium,False
STU0033,34.0,Female,Bachelor,India,Data Science,11.440000000000001,78,14,,75.1,75.9,2024-06-07,Premium,True
