customer_id,age,gender,tenure_months,account_type,total_purchases,avg_purchase_value,days_since_last_purchase,website_visits_per_month,email_open_rate,customer_service_calls,satisfaction_score,promo_codes_used,loyalty_points,churned
CUST00001,56,Female,5,Standard,40,109.61,65,9,0.228,2,1,6,4375,0
CUST00002,69,Male,65,Premium,72,116.59,129,7,0.417,2,5,1,1185,0
CUST00003,46,Male,30,Basic,40,65.93,117,9,0.32,1,3,1,1910,0
CUST00004,32,Male,21,Premium,56,10.0,116,12,0.075,2,5,1,915,0
CUST00005,60,Male,70,Basic,104,64.16,105,4,0.229,1,1,4,1617,0
CUST00006,25,Male,22,Basic,139,73.07,3,11,0.553,5,4,6,1683,1
CUST00007,38,Male,32,Basic,110,44.68,46,7,0.267,3,1,3,2425,0
CUST00008,56,Male,33,Basic,136,59.54,55,10,0.201,1,5,3,425,0
CUST00009,36,Male,16,Standard,93,120.91,75,8,0.324,2,1,8,1787,0
CUST00010,40,Female,38,Basic,94,94.95,45,9,0.365,3,1,9,2584,0
CUST00011,28,Female,14,Basic,56,47.26,154,4,0.182,3,5,8,4648,1
CUST00012,28,Female,36,Premium,60,27.07,77,4,0.325,5,5,6,168,0
CUST00013,41,Female,23,Premium,138,65.19,24,11,0.201,1,4,9,514,0
CUST00014,53,Female,66,Premium,39,68.6,35,8,0.358,0,5,3,3435,0
CUST00015,57,Male,2,Premium,28,89.89,24,8,0.275,0,4,7,4525,0
CUST00016,41,Female,65,Standard,49,58.94,28,9,0.322,4,2,9,2616,0
CUST00017,20,Female,67,Basic,125,90.34,16,6,0.136,0,2,2,2377,1
CUST00018,39,Female,52,Basic,13,133.05,59,6,0.127,1,5,2,690,0
CUST00019,19,Male,62,Standard,36,99.47,144,7,0.392,1,1,6,3204,0
CUST00020,41,Male,23,Basic,101,73.56,15,5,0.238,2,3,8,2504,1
CUST00021,61,Male,26,Standard,26,69.51,11,7,0.293,1,1,3,352,0
CUST00022,47,Male,68,Basic,86,64.3,79,8,0.204,3,5,3,1117,1
CUST00023,55,Female,55,Basic,4,110.42,115,8,0.385,4,4,0,1405,0
CUST00024,19,Female,6,Standard,82,56.18,68,9,0.159,2,1,0,3939,0
CUST00025,38,Male,35,Standard,127,76.36,43,6,0.23,3,2,2,4174,1
CUST00026,50,Female,22,Standard,88,76.54,69,8,0.368,2,5,6,677,1
CUST00027,29,Female,43,Standard,127,59.95,141,11,0.426,2,1,8,550,0
CUST00028,39,Male,15,Basic,120,33.83,138,12,0.171,2,1,3,819,0
CUST00029,61,Male,60,Basic,22,84.69,75,7,0.544,2,4,1,213,0
CUST00030,42,Male,12,Premium,130,73.17,103,9,0.297,4,4,5,1666,0
CUST00031,66,Male,49,Standard,31,90.01,41,6,0.094,1,4,5,4764,0
CUST00032,44,Male,42,Basic,119,58.99,178,9,0.305,1,3,8,893,0
CUST00033,59,Male,38,Premium,11,111.62,59,5,0.193,1,5,3,4254,0
CUST00034,45,Male,45,Basic,46,48.7,39,13,0.315,5,5,7,4076,1
CUST00035,33,Male,35,Standard,96,126.36,3,12,0.244,4,2,2,3905,0
CUST00036,32,Female,30,Basic,10,22.57,7,8,0.261,1,2,1,2786,0
CUST00037,64,Male,30,Standard,128,88.04,49,8,0.113,2,5,8,2248,0
CUST00038,68,Female,6,Standard,99,89.26,26,5,0.399,4,1,5,21,1
CUST00039,61,Male,67,Basic,112,51.13,161,9,0.077,0,5,7,3313,0
CUST00040,69,Female,7,Premium,60,87.73,101,3,0.084,3,3,9,1261,0
CUST00041,20,Male,52,Standard,87,113.39,176,8,0.305,3,2,8,1172,0
CUST00042,54,Male,14,Basic,145,10.0,79,10,0.49,3,2,0,4880,0
CUST00043,68,Female,15,Basic,65,90.08,2,8,0.197,4,2,0,2054,0
CUST00044,24,Female,21,Basic,57,10.0,127,13,0.355,2,5,4,1892,0
CUST00045,38,Female,35,Basic,106,46.03,160,3,0.411,2,2,8,2815,1
CUST00046,26,Male,66,Standard,9,123.87,132,9,0.372,1,2,6,4674,0
CUST00047,56,Male,2,Premium,22,57.55,20,4,0.203,3,5,6,4584,0
