SiteName,SiteEngNam,AreaName,County,Township,SiteAddres,TWD97Lon,TWD97Lat,SiteType,Name,PSI,PM,O3,SO2,CO,NO2
二林,Erlin,中部空品區,彰化縣,二林鎮,彰化縣二林鎮萬合里江山巷1號,120.409653,23.925175,一般測站,二林,62,75,40,5.8,0.47,12
三重,Sanchong,北部空品區,新北市,三重區,新北市三重區三和路重陽路交口,121.493806,25.072611,交通測站,三重,68,102,0,3,1.37,36
三義,Sanyi,竹苗空品區,苗栗縣,三義鄉,苗栗縣三義鄉西湖村上湖61-1號,120.758833,24.382942,一般測站,三義,45,56,32,1.9,0.36,6.3
土城,Tucheng,北部空品區,新北市,土城區,新北市土城區學府路一段241號,121.451861,24.982528,一般測站,土城,62,84,30,1.9,0.51,16
士林,Shilin,北部空品區,臺北市,北投區,臺北市北投區文林北路155號,121.515389,25.105417,一般測站,士林,50,61,32,1.8,0.41,11
大同,Datong,北部空品區,臺北市,大同區,臺北市大同區重慶北路三段2號,121.513311,25.0632,交通測站,大同,61,78,0,2.3,0.84,20
大里,Dali,中部空品區,臺中市,大里區,臺中市大里區大新街36號,120.677689,24.099611,一般測站,大里,42,50,37,2.4,0.62,19
大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.201811,25.060344,一般測站,大園,62,85,35,3.3,0.37,12
大寮,Daliao,高屏空品區,高雄市,大寮區,高雄市大寮區潮寮路61號,120.425081,22.565747,一般測站,大寮,72,109,51,8.2,0.91,38
小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.337736,22.565833,一般測站,小港,86,132,34,7.1,0.72,31
中山,Zhongshan,北部空品區,臺北市,中山區,臺北市中山區林森北路511號,121.526528,25.062361,一般測站,中山,52,81,14,2.4,1.06,33
中壢,Zhongli,北部空品區,桃園市,中壢區,桃園市中壢區延平路622號,121.221667,24.953278,交通測站,中壢,67,83,26,2.4,0.91,23
仁武,Renwu,高屏空品區,高雄市,仁武區,高雄市仁武區八卦里永仁街555號,120.332631,22.689056,一般測站,仁武,91,144,32,2.7,0.7,26
斗六,Douliu,雲嘉南空品區,雲林縣,斗六市,雲林縣斗六市民生路224號,120.544994,23.711853,一般測站,斗六,59,71,41,2.5,0.49,14
冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉南興村照安路26號,121.792928,24.632203,一般測站,冬山,50,49,29,2.1,0.33,12
古亭,Guting,北部空品區,臺北市,大安區,臺北市大安區羅斯福路三段153號,121.529556,25.020608,一般測站,古亭,45,87,21,0,0.67,24
左營,Zuoying,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.292917,22.674861,一般測站,左營,81,117,40,2.5,0.59,17
平鎮,Pingzhen,北部空品區,桃園市,平鎮區,桃園市平鎮區文化街189號,121.203986,24.952786,一般測站,平鎮,60,71,31,1.6,0.44,12
永和,Yonghe,北部空品區,新北市,永和區,新北市永和區永和路光復路交口,121.516306,25.017,交通測站,永和,45,68,12,3.1,1.49,36
安南,Annan,雲嘉南空品區,臺南市,安南區,臺南市安南區安和路三段193號,120.2175,23.048197,一般測站,安南,78,98,27,3.4,0.51,14
朴子,Puzi,雲嘉南空品區,嘉義縣,朴子市,嘉義縣朴子市光復路34號,120.24735,23.465308,一般測站,朴子,72,91,37,5,0.47,13
