sitename,county,aqi,status,co,pm10,no2,longitude,latitude,siteid
基隆,基隆市,15,良好,0.16,7,2.1,121.760056,25.129167,1
汐止,新北市,13,良好,0.13,4,3.5,121.64081,25.06624,2
萬里,新北市,19,良好,0.12,13,1.3,121.689881,25.179667,3
新店,新北市,15,良好,0.13,3,2.1,121.537778,24.977222,4
土城,新北市,16,良好,0.18,6,2.9,121.451861,24.982528,5
板橋,新北市,14,良好,0.21,3,4.8,121.458667,25.012972,6
新莊,新北市,16,良好,0.12,16,2.7,121.4325,25.037972,7
菜寮,新北市,15,良好,0.21,3,4.1,121.481028,25.06895,8
林口,新北市,18,良好,0.14,8,3.8,121.3654898,25.07798949,9
淡水,新北市,16,良好,0.12,9,2.5,121.449239,25.1645,10
士林,臺北市,15,良好,0.14,2,3,121.5166636,25.10334003,11
中山,臺北市,13,良好,0.27,10,7.3,121.526528,25.062361,12
萬華,臺北市,13,良好,0.21,5,7,121.507972,25.046503,13
古亭,臺北市,15,良好,0.1,5,2,121.529556,25.020608,14
松山,臺北市,12,良好,0.14,6,4.9,121.578611,25.05,15
大同,臺北市,19,良好,0.5,17,10.3,121.5134207,25.06331455,16
桃園,桃園市,18,良好,0.2,11,3.6,121.3050053,24.9947107,17
大園,桃園市,21,良好,0.15,18,5.2,121.2025147,25.06100357,18
觀音,桃園市,28,良好,0.12,8,3.7,121.0828309,25.03556747,19
平鎮,桃園市,31,良好,0.21,10,5,121.203986,24.952786,20
龍潭,桃園市,43,良好,0.19,15,5.8,121.2164577,24.86400048,21
湖口,新竹縣,44,良好,0.17,16,5.5,121.0388689,24.90009696,22
竹東,新竹縣,87,普通,0.23,23,4.1,121.0889549,24.74091408,23
新竹,新竹市,49,良好,0.32,25,8.4,120.9723675,24.8056356,24
頭份,苗栗縣,49,良好,0.22,23,3.3,120.8986929,24.69690679,25
苗栗,苗栗縣,64,普通,0.18,23,2.7,120.8201147,24.56499183,26
三義,苗栗縣,77,普通,0.25,39,5,120.7595675,24.38248443,27
豐原,臺中市,84,普通,0.27,34,6.7,120.7425241,24.25699731,28
沙鹿,臺中市,87,普通,0.16,22,2.2,120.568794,24.225628,29
大里,臺中市,101,對敏感族群不健康,0.3,44,6,120.6784444,24.09961111,30
忠明,臺中市,104,對敏感族群不健康,0.24,37,6,120.641092,24.151958,31
西屯,臺中市,100,普通,0.2,33,3.4,120.616917,24.162197,32
彰化,彰化縣,87,普通,0.25,31,8.4,120.541519,24.066,33
線西,彰化縣,71,普通,0.11,17,2.6,120.469061,24.131672,34
二林,彰化縣,71,普通,0.18,34,1.6,120.409653,23.925175,35
南投,南投縣,100,普通,0.35,42,7,120.685306,23.913,36
斗六,雲林縣,87,普通,0.37,61,5.2,120.544994,23.711853,37
崙背,雲林縣,62,普通,0.21,42,3.5,120.348742,23.757547,38
新港,嘉義縣,93,普通,0.26,50,1.9,120.345531,23.554839,39
朴子,嘉義縣,80,普通,0.24,45,6.7,120.2478,23.46538,40
臺西,雲林縣,64,普通,0.21,40,8,120.1993333,23.702175,41
嘉義,嘉義市,93,普通,0.26,51,5.1,120.4412515,23.46477865,42
新營,臺南市,71,普通,0.23,45,4.9,120.31725,23.305633,43
善化,臺南市,58,普通,0.14,31,3.6,120.2974053,23.11337642,44
安南,臺南市,60,普通,0.19,43,2.6,120.2175,23.048197,45
臺南,臺南市,60,普通,0.24,45,4.3,120.22085,22.99123,46
美濃,高雄市,74,普通,0.21,42,3.9,120.530542,22.883583,47
橋頭,高雄市,62,普通,0.2,51,8.5,120.305689,22.757506,48
仁武,高雄市,74,普通,0.2,41,4.7,120.332631,22.689056,49
鳳山,高雄市,64,普通,0.51,43,9.8,120.357422,22.628126,50
大寮,高雄市,84,普通,0.25,50,6.1,120.425311,22.56413611,51
林園,高雄市,66,普通,0.26,71,5.6,120.41175,22.4795,52
楠梓,高雄市,65,普通,0.18,44,7.7,120.328289,22.733667,53
左營,高雄市,54,普通,0.15,44,3.7,120.292917,22.674861,54
前金,高雄市,58,普通,0.19,37,3.4,120.2867611,22.63390278,56
前鎮,高雄市,58,普通,0.28,42,10.6,120.3083336,22.6044507,57
小港,高雄市,71,普通,0.18,42,9.5,120.337736,22.565833,58
屏東,屏東縣,90,普通,0.25,45,8,120.488033,22.673081,59
潮州,屏東縣,112,對敏感族群不健康,0.26,49,5.9,120.561175,22.523108,60
恆春,屏東縣,21,良好,0.08,6,0.2,120.788928,21.958069,61
臺東,臺東縣,23,良好,0.14,17,2.1,121.15045,22.755358,62
花蓮,花蓮縣,22,良好,0.14,8,1.8,121.599769,23.971306,63
陽明,臺北市,16,良好,0.11,5,1.5,121.529583,25.182722,64
宜蘭,宜蘭縣,19,良好,0.16,11,2.5,121.746394,24.747917,65
冬山,宜蘭縣,19,良好,0.17,21,3.3,121.792928,24.632203,66
三重,新北市,17,良好,0.88,9,10.4,121.493806,25.072611,67
中壢,桃園市,21,良好,0.86,18,12.5,121.221667,24.953278,68
竹山,南投縣,90,普通,0.44,63,6.6,120.677306,23.756389,69
永和,新北市,13,良好,0.19,8,2.1,121.516306,25.017,70
復興,高雄市,53,普通,0.28,49,5.4,120.312017,22.608711,71
埔里,南投縣,77,普通,0.33,48,4.3,120.967903,23.968842,72
馬祖,連江縣,34,良好,0.13,16,3.5,119.9314938,26.15188416,75
金門,金門縣,45,良好,0.18,26,4.9,118.312256,24.432133,77
馬公,澎湖縣,48,良好,0.33,24,4.3,119.566158,23.569031,78
關山,臺東縣,26,良好,0.12,12,1.9,121.161933,23.045083,80
麥寮,雲林縣,71,普通,0.18,33,2.7,120.251825,23.753506,83
富貴角,新北市,24,良好,0.09,8,1.2,121.5365689,25.29681695,84
大城,彰化縣,64,普通,0.11,15,2.3,120.2696417,23.85493056,85
彰化(員林),彰化縣,86,普通,0.44,42,8.2,120.56373,23.96117,201
高雄(湖內),高雄市,53,普通,0.15,35,2.3,120.24535,22.87985556,202
臺南(麻豆),臺南市,55,普通,0.18,46,4.4,120.2458306,23.17904722,203
屏東(琉球),屏東縣,70,普通,0.14,42,1.7,120.37722,22.35222,204
桃園(三民),桃園市,21,良好,0.15,18,1.7,121.3178815,25.00132736,310
新北(樹林),新北市,14,良好,0.23,11,6.1,121.3835278,24.94902778,311
屏東(枋山),屏東縣,74,普通,0.17,46,2.1,120.651472,22.260899,313
